max_precip,total_precip,melton_index,mean_slope,california_tc,area,river_slope,main_river_slope,drainage_density,long_outlet,vel_ms
1.7076446962553198,16.7522330521292,0.21,21.17,2.019418047526634,96.67152476051223,12.7,8.892297065638909,2.448,22.93844,0.8572292755292713
5.027172875856625,26.4797449104127,0.21,21.17,2.019418047526634,96.67152476051223,12.7,8.892297065638909,2.448,22.93844,0.8572292755292713
2.0938369385657083,10.4252487773674,0.21,21.17,2.019418047526634,96.67152476051223,12.7,8.892297065638909,2.448,22.93844,0.8572292755292713
3.608975811819715,59.3373858378078,0.21,21.17,2.019418047526634,96.67152476051223,12.7,8.892297065638909,2.448,22.93844,0.8572292755292713
9.429293832322687,17.7772944897122,0.97,24.11,0.081632221053138,0.41878682176268534,15.0,18.302869673147352,4.68,1.9295,1.6090321511948102
29.85891259777046,27.2592216952049,0.97,24.11,0.081632221053138,0.41878682176268534,15.0,18.302869673147352,4.68,1.9295,1.6090321511948102
9.897717688977577,6.7880027880894,0.97,24.11,0.081632221053138,0.41878682176268534,15.0,18.302869673147352,4.68,1.9295,1.6090321511948102
18.421482326286142,62.1630929737097,0.97,24.11,0.081632221053138,0.41878682176268534,15.0,18.302869673147352,4.68,1.9295,1.6090321511948102
7.426363828938571,18.7250496955789,0.71,23.28,0.156866899914996,0.6647370982422824,14.4,14.237032576084149,2.452,2.24884,1.5409068858208053
25.39219839274975,30.1706103341196,0.71,23.28,0.156866899914996,0.6647370982422824,14.4,14.237032576084149,2.452,2.24884,1.5409068858208053
7.12295085823995,6.62123719005717,0.71,23.28,0.156866899914996,0.6647370982422824,14.4,14.237032576084149,2.452,2.24884,1.5409068858208053
13.294129111358114,62.080892630292,0.71,23.28,0.156866899914996,0.6647370982422824,14.4,14.237032576084149,2.452,2.24884,1.5409068858208053
4.77511631052968,18.3240315316184,0.61,24.12,0.352906856230769,2.7601120574083002,17.1,15.713965076217296,2.917,4.43703,1.3774571212258513
15.86430535145787,29.265376937938,0.61,24.12,0.352906856230769,2.7601120574083002,17.1,15.713965076217296,2.917,4.43703,1.3774571212258513
4.781175383949001,7.09344170086416,0.61,24.12,0.352906856230769,2.7601120574083002,17.1,15.713965076217296,2.917,4.43703,1.3774571212258513
8.813127691502878,61.4034556471514,0.61,24.12,0.352906856230769,2.7601120574083002,17.1,15.713965076217296,2.917,4.43703,1.3774571212258513
4.054342469894969,18.1011535713222,0.6,24.77,0.469676964244491,5.5404271306122705,19.6,16.319850493335597,2.372,6.56073,1.349818538617241
13.276360087558455,29.1441332830767,0.6,24.77,0.469676964244491,5.5404271306122705,19.6,16.319850493335597,2.372,6.56073,1.349818538617241
4.189110670072108,7.84817661824569,0.6,24.77,0.469676964244491,5.5404271306122705,19.6,16.319850493335597,2.372,6.56073,1.349818538617241
7.5905825006618715,60.6154876123759,0.6,24.77,0.469676964244491,5.5404271306122705,19.6,16.319850493335597,2.372,6.56073,1.349818538617241
5.764571243699522,18.5998936158043,0.77,27.34,0.254597569981198,2.857636658090077,22.5,23.991173932013574,2.565,3.97969,1.6907855877698534
19.57896865543563,30.6672341825396,0.77,27.34,0.254597569981198,2.857636658090077,22.5,23.991173932013574,2.565,3.97969,1.6907855877698534
5.678892581553528,7.71295108319782,0.77,27.34,0.254597569981198,2.857636658090077,22.5,23.991173932013574,2.565,3.97969,1.6907855877698534
10.342103129630841,60.8075211355957,0.77,27.34,0.254597569981198,2.857636658090077,22.5,23.991173932013574,2.565,3.97969,1.6907855877698534
4.497889504559819,18.2897180076906,0.66,26.47,0.395243951608638,4.578773025556286,22.0,20.0513224176706,3.405,5.438350000000001,1.5458393284257
14.994544924034157,30.4847099611546,0.66,26.47,0.395243951608638,4.578773025556286,22.0,20.0513224176706,3.405,5.438350000000001,1.5458393284257
4.623221656322514,8.72628713222013,0.66,26.47,0.395243951608638,4.578773025556286,22.0,20.0513224176706,3.405,5.438350000000001,1.5458393284257
8.24665224868311,60.0492411139907,0.66,26.47,0.395243951608638,4.578773025556286,22.0,20.0513224176706,3.405,5.438350000000001,1.5458393284257
6.844370156598698,18.524002737975,1.19,26.81,0.17815134432771,0.8538228114658378,24.3,24.13958795878064,3.549,3.13462,1.7183796387325414
23.198639834501627,31.4402107817986,1.19,26.81,0.17815134432771,0.8538228114658378,24.3,24.13958795878064,3.549,3.13462,1.7183796387325414
6.906564119742349,8.93763398420514,1.19,26.81,0.17815134432771,0.8538228114658378,24.3,24.13958795878064,3.549,3.13462,1.7183796387325414
12.331219419767429,60.3300067366374,1.19,26.81,0.17815134432771,0.8538228114658378,24.3,24.13958795878064,3.549,3.13462,1.7183796387325414
9.52794086445299,18.6557187000232,1.18,28.84,0.094130020837511,0.2261444461177461,25.9,26.190810486232763,5.085,1.29518,1.9965545814089625
32.54906897640894,31.6613828543267,1.18,28.84,0.094130020837511,0.2261444461177461,25.9,26.190810486232763,5.085,1.29518,1.9965545814089625
9.467854830501583,8.68313439801087,1.18,28.84,0.094130020837511,0.2261444461177461,25.9,26.190810486232763,5.085,1.29518,1.9965545814089625
3.923742369961971,17.9978416189803,0.57,25.44,0.49178248870822,7.099650149749627,17.9,18.2505990948949,2.379,5.79503,1.4775476090210773
12.935856668335868,31.1766696486969,0.57,25.44,0.49178248870822,7.099650149749627,17.9,18.2505990948949,2.379,5.79503,1.4775476090210773
4.261060920850196,10.7380511434981,0.57,25.44,0.49178248870822,7.099650149749627,17.9,18.2505990948949,2.379,5.79503,1.4775476090210773
